time_s,node_type,node_id,channel_type,sat_id,beam_id,c_n_db,fspl_db,atm_loss_db,rx_power_dbw,sinr_db,rx_bytes
4.500000,GW,2,RETURN_FEEDER_CH,0,2,21.859209,185.019304,0.000000,-86.566456,21.859209,150
5.000000,UT,1,FORWARD_USER_CH,0,18,24.645115,183.874882,0.000000,-80.166058,24.645115,90
5.000000,UT,2,FORWARD_USER_CH,0,18,24.640451,183.361600,0.000000,-80.522609,24.640451,90
5.000000,UT,3,FORWARD_USER_CH,0,19,24.616983,184.318329,0.000000,-81.977295,24.616983,90
5.000000,UT,4,FORWARD_USER_CH,0,19,23.773352,182.557347,0.000000,-92.884742,23.773352,60
5.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
5.000000,GW,1,RETURN_FEEDER_CH,0,1,21.919779,183.775832,0.000000,-84.093162,21.919779,150
5.000000,GW,2,RETURN_FEEDER_CH,0,2,21.857359,185.019483,0.000000,-86.624073,21.857359,180
5.500000,UT,1,FORWARD_USER_CH,0,18,24.645448,183.864435,0.000000,-80.139483,24.645448,120
5.500000,UT,2,FORWARD_USER_CH,0,18,24.640630,183.350769,0.000000,-80.509460,24.640630,120
5.500000,UT,3,FORWARD_USER_CH,0,19,24.616007,184.307523,0.000000,-82.028517,24.616007,120
5.500000,UT,4,FORWARD_USER_CH,0,19,23.761045,182.541397,0.000000,-92.948415,23.761045,90
5.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
5.500000,GW,1,RETURN_FEEDER_CH,0,1,21.919201,183.772706,0.000000,-84.124626,21.919201,180
5.500000,GW,2,RETURN_FEEDER_CH,0,2,21.852901,185.019680,0.000000,-86.759965,21.852901,210
6.000000,UT,1,FORWARD_USER_CH,0,18,24.645775,183.853994,0.000000,-80.113137,24.645775,120
6.000000,UT,2,FORWARD_USER_CH,0,18,24.640802,183.339946,0.000000,-80.496722,24.640802,120
6.000000,UT,3,FORWARD_USER_CH,0,18,24.617532,184.242634,0.000000,-81.948173,24.617532,120
6.000000,UT,4,FORWARD_USER_CH,0,19,23.747535,182.525431,0.000000,-93.017459,23.747535,90
6.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
6.000000,GW,1,RETURN_FEEDER_CH,0,1,21.918217,183.769602,0.000000,-84.177722,21.918217,180
6.000000,GW,2,RETURN_FEEDER_CH,0,2,21.850901,185.019895,0.000000,-86.819635,21.850901,240
6.500000,UT,1,FORWARD_USER_CH,0,18,24.646099,183.843559,0.000000,-80.087016,24.646099,150
6.500000,UT,2,FORWARD_USER_CH,0,18,24.640969,183.329131,0.000000,-80.484395,24.640969,150
6.500000,UT,3,FORWARD_USER_CH,0,18,24.618405,184.231830,0.000000,-81.901520,24.618405,150
6.500000,UT,4,FORWARD_USER_CH,0,19,23.732721,182.509449,0.000000,-93.092167,23.732721,120
6.500000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
6.500000,GW,1,RETURN_FEEDER_CH,0,1,21.917155,183.766521,0.000000,-84.234262,21.917155,210
6.500000,GW,2,RETURN_FEEDER_CH,0,2,21.845728,185.020129,0.000000,-86.970358,21.845728,270
7.000000,UT,1,FORWARD_USER_CH,0,18,24.646417,183.833130,0.000000,-80.061120,24.646417,150
7.000000,UT,2,FORWARD_USER_CH,0,18,24.641130,183.318324,0.000000,-80.472479,24.641130,150
7.000000,UT,3,FORWARD_USER_CH,0,18,24.619263,184.221028,0.000000,-81.855217,24.619263,150
7.000000,UT,4,FORWARD_USER_CH,0,19,23.716488,182.493452,0.000000,-93.172866,23.716488,120
7.000000,UT,5,NA,-1,-1,nan,nan,nan,nan,nan,0
7.000000,GW,1,RETURN_FEEDER_CH,0,1,21.917155,183.763461,0.000000,-84.234262,21.917155,210
7.000000,GW,2,RETURN_FEEDER_CH,0,2,21.841811,185.020381,0.000000,-87.081218,21.841811,330
7.500000,UT,1,FORWARD_USER_CH,0,18,24.646686,183.822707,0.000000,-80.039136,24.646686,180
7.500000,UT,2,FORWARD_USER_CH,0,18,24.641272,183.307525,0.000000,-80.461852,24.641272,180
7.500000,UT,3,FORWARD_USER_CH,0,18,24.620071,184.210228,0.000000,-81.811083,24.620071,180
7.500000,UT,4,FORWARD_USER_CH,0,19,23.706000,182.477438,0.000000,-93.224375,23.706000,150
